Sequences Lenght			Iterations Matrix			Time (sec.)
1							1							0.0
2							4							0.0
3							9							0.0
4							16							0.0
5							25							0.0
6							36							0.001
7							49							0.001
8							64							0.001
9							81							0.001
10							100							0.001
11							121							0.002
12							144							0.002
13							169							0.003
14							196							0.003
15							225							0.003
16							256							0.003
17							289							0.005
18							324							0.004
19							361							0.005
20							400							0.006
21							441							0.007
22							484							0.006
23							529							0.008
24							576							0.009
25							625							0.009
26							676							0.009
27							729							0.01
28							784							0.011
29							841							0.012
30							900							0.013
31							961							0.014
32							1024						0.014
33							1089						0.015
34							1156						0.016
35							1225						0.017
36							1296						0.018
37							1369						0.019
38							1444						0.02
39							1521						0.021
40							1600						0.022
41							1681						0.024
42							1764						0.025
43							1849						0.026
44							1936						0.027
45							2025						0.028
46							2116						0.03
47							2209						0.032
48							2304						0.033
49							2401						0.034
50							2500						0.035
51							2601						0.037
52							2704						0.038
53							2809						0.039
54							2916						0.041
55							3025						0.043
56							3136						0.045
57							3249						0.045
58							3364						0.047
59							3481						0.048
60							3600						0.049
61							3721						0.051
62							3844						0.055
63							3969						0.055
64							4096						0.059
65							4225						0.061
66							4356						0.063
67							4489						0.062
68							4624						0.064
69							4761						0.064
70							4900						0.073
71							5041						0.072
72							5184						0.072
73							5329						0.074
74							5476						0.074
75							5625						0.081
76							5776						0.08
77							5929						0.079
78							6084						0.083
79							6241						0.09
80							6400						0.087
81							6561						0.087
82							6724						0.091
83							6889						0.096
84							7056						0.096
85							7225						0.096
86							7396						0.104
87							7569						0.103
88							7744						0.104
89							7921						0.111
90							8100						0.11
91							8281						0.109
92							8464						0.118
93							8649						0.118
94							8836						0.119
95							9025						0.12
96							9216						0.128
97							9409						0.125
98							9604						0.131
99							9801						0.134
100							10000						0.14
200							40000						0.52
300							90000						1.163
400							160000						2.094
500							250000						3.34
600							360000						4.708
700							490000						6.27
800							640000						8.235
900							810000						10.393
1000						1000000						12.83
1500						2250000						29.163
2000						4000000						51.801
2500						6250000						81.123
3000						9000000						115.457
5000						25000000					343.258
6000						36000000					529.903
