Sequences Lenght	Iterations	Calls		Time (sec.)
1 					 1 			 3 		 		0.0
2 					 4 			 8 		 		0.0
3 					 9 			 15 		 	0.0
4 					 16 			 24 		 0.0
5 					 25 			 35 		 0.0
6 					 36 			 48 		 0.0
7 					 49 			 63 		 0.0
8 					 64 			 80 		 0.0
9 					 81 			 99 		 0.0
10 					 100 			 120 		 0.0
11 					 121 			 143 		 0.001
12 					 144 			 168 		 0.001
13 					 169 			 195 		 0.001
14 					 196 			 224 		 0.001
15 					 225 			 255 		 0.001
16 					 256 			 288 		 0.001
17 					 289 			 323 		 0.001
18 					 324 			 360 		 0.001
19 					 361 			 399 		 0.001
20 					 400 			 440 		 0.002
21 					 441 			 483 		 0.002
22 					 484 			 528 		 0.002
23 					 529 			 575 		 0.002
24 					 576 			 624 		 0.002
25 					 625 			 675 		 0.002
26 					 676 			 728 		 0.003
27 					 729 			 783 		 0.003
28 					 784 			 840 		 0.003
29 					 841 			 899 		 0.004
30 					 900 			 960 		 0.004
31 					 961 			 1023 		 0.004
32 					 1024 			 1088 		 0.006
33 					 1089 			 1155 		 0.005
34 					 1156 			 1224 		 0.006
35 					 1225 			 1295 		 0.005
36 					 1296 			 1368 		 0.007
37 					 1369 			 1443 		 0.005
38 					 1444 			 1520 		 0.008
39 					 1521 			 1599 		 0.007
40 					 1600 			 1680 		 0.007
41 					 1681 			 1763 		 0.008
42 					 1764 			 1848 		 0.009
43 					 1849 			 1935 		 0.007
44 					 1936 			 2024 		 0.009
45 					 2025 			 2115 		 0.008
46 					 2116 			 2208 		 0.009
47 					 2209 			 2303 		 0.009
48 					 2304 			 2400 		 0.01
49 					 2401 			 2499 		 0.01
50 					 2500 			 2600 		 0.01
51 					 2601 			 2703 		 0.011
52 					 2704 			 2808 		 0.011
53 					 2809 			 2915 		 0.012
54 					 2916 			 3024 		 0.012
55 					 3025 			 3135 		 0.012
56 					 3136 			 3248 		 0.013
57 					 3249 			 3363 		 0.013
58 					 3364 			 3480 		 0.014
59 					 3481 			 3599 		 0.014
60 					 3600 			 3720 		 0.015
61 					 3721 			 3843 		 0.015
62 					 3844 			 3968 		 0.016
63 					 3969 			 4095 		 0.016
64 					 4096 			 4224 		 0.017
65 					 4225 			 4355 		 0.017
66 					 4356 			 4488 		 0.018
67 					 4489 			 4623 		 0.018
68 					 4624 			 4760 		 0.019
69 					 4761 			 4899 		 0.019
70 					 4900 			 5040 		 0.02
71 					 5041 			 5183 		 0.02
72 					 5184 			 5328 		 0.021
73 					 5329 			 5475 		 0.02
74 					 5476 			 5624 		 0.022
75 					 5625 			 5775 		 0.023
76 					 5776 			 5928 		 0.024
77 					 5929 			 6083 		 0.024
78 					 6084 			 6240 		 0.025
79 					 6241 			 6399 		 0.026
80 					 6400 			 6560 		 0.027
81 					 6561 			 6723 		 0.027
82 					 6724 			 6888 		 0.027
83 					 6889 			 7055 		 0.028
84 					 7056 			 7224 		 0.029
85 					 7225 			 7395 		 0.029
86 					 7396 			 7568 		 0.03
87 					 7569 			 7743 		 0.031
88 					 7744 			 7920 		 0.031
89 					 7921 			 8099 		 0.032
90 					 8100 			 8280 		 0.033
91 					 8281 			 8463 		 0.035
92 					 8464 			 8648 		 0.034
93 					 8649 			 8835 		 0.036
94 					 8836 			 9024 		 0.038
95 					 9025 			 9215 		 0.04
96 					 9216 			 9408 		 0.041
97 					 9409 			 9603 		 0.038
98 					 9604 			 9800 		 0.038
99 					 9801 			 9999 		 0.039
100 				10000 			 10200 		 0.041
150 				22500 			 22800 		 0.085
200 				40000 			 40400 		 0.148
250 				62500 			 63000 		 0.229
300 				90000 			 90600 		 0.335
350 				122500 			 123200 		 0.458
400 				160000 			 160800 		 0.617
450 				202500 			 203400 		 0.763
500 				250000 			 251000 		 0.948
550 				302500 			 303600 		 1.147
600 				360000 			 361200 		 1.378
650 				422500 			 423800 		 1.604
700 				490000 			 491400 		 1.88
750 				562500 			 564000 		 2.159
800 				640000 			 641600 		 2.477
850 				722500 			 724200 		 2.935
900 				810000 			 811800 		 3.158
950 				902500 			 904400 		 3.519
RecursionError: maximum recursion depth exceeded in comparison
